SPN,Description,Category,Unit,Min,Max,Priority,OEM,Notes
2280,Standard J1939 Parameter 2280,Emissions,,,,3,Standard,SAE J1939 SPN 2280
2281,Standard J1939 Parameter 2281,Engine,,,,3,Standard,SAE J1939 SPN 2281
2282,Standard J1939 Parameter 2282,Fuel,,,,3,Standard,SAE J1939 SPN 2282
2283,Standard J1939 Parameter 2283,Emissions,,,,3,Standard,SAE J1939 SPN 2283
2284,Standard J1939 Parameter 2284,Engine,,,,3,Standard,SAE J1939 SPN 2284
2285,Standard J1939 Parameter 2285,Fuel,,,,3,Standard,SAE J1939 SPN 2285
2286,Standard J1939 Parameter 2286,Emissions,,,,3,Standard,SAE J1939 SPN 2286
2287,Standard J1939 Parameter 2287,Engine,,,,3,Standard,SAE J1939 SPN 2287
2288,Standard J1939 Parameter 2288,Fuel,,,,3,Standard,SAE J1939 SPN 2288
2289,Standard J1939 Parameter 2289,Emissions,,,,3,Standard,SAE J1939 SPN 2289
2290,Standard J1939 Parameter 2290,Engine,,,,3,Standard,SAE J1939 SPN 2290
2291,Standard J1939 Parameter 2291,Fuel,,,,3,Standard,SAE J1939 SPN 2291
2292,Standard J1939 Parameter 2292,Emissions,,,,3,Standard,SAE J1939 SPN 2292
2293,Standard J1939 Parameter 2293,Engine,,,,3,Standard,SAE J1939 SPN 2293
2294,Standard J1939 Parameter 2294,Fuel,,,,3,Standard,SAE J1939 SPN 2294
2295,Standard J1939 Parameter 2295,Emissions,,,,3,Standard,SAE J1939 SPN 2295
2296,Standard J1939 Parameter 2296,Engine,,,,3,Standard,SAE J1939 SPN 2296
2297,Standard J1939 Parameter 2297,Fuel,,,,3,Standard,SAE J1939 SPN 2297
2298,Standard J1939 Parameter 2298,Emissions,,,,3,Standard,SAE J1939 SPN 2298
2299,Standard J1939 Parameter 2299,Engine,,,,3,Standard,SAE J1939 SPN 2299
2300,Standard J1939 Parameter 2300,Fuel,,,,3,Standard,SAE J1939 SPN 2300
2301,Standard J1939 Parameter 2301,Emissions,,,,3,Standard,SAE J1939 SPN 2301
2302,Standard J1939 Parameter 2302,Engine,,,,3,Standard,SAE J1939 SPN 2302
2303,Standard J1939 Parameter 2303,Fuel,,,,3,Standard,SAE J1939 SPN 2303
2304,Standard J1939 Parameter 2304,Emissions,,,,3,Standard,SAE J1939 SPN 2304
2305,Standard J1939 Parameter 2305,Engine,,,,3,Standard,SAE J1939 SPN 2305
2306,Standard J1939 Parameter 2306,Fuel,,,,3,Standard,SAE J1939 SPN 2306
2307,Standard J1939 Parameter 2307,Emissions,,,,3,Standard,SAE J1939 SPN 2307
2308,Standard J1939 Parameter 2308,Engine,,,,3,Standard,SAE J1939 SPN 2308
2309,Standard J1939 Parameter 2309,Fuel,,,,3,Standard,SAE J1939 SPN 2309
2310,Standard J1939 Parameter 2310,Emissions,,,,3,Standard,SAE J1939 SPN 2310
2311,Standard J1939 Parameter 2311,Engine,,,,3,Standard,SAE J1939 SPN 2311
2312,Standard J1939 Parameter 2312,Fuel,,,,3,Standard,SAE J1939 SPN 2312
2313,Standard J1939 Parameter 2313,Emissions,,,,3,Standard,SAE J1939 SPN 2313
2314,Standard J1939 Parameter 2314,Engine,,,,3,Standard,SAE J1939 SPN 2314
2315,Standard J1939 Parameter 2315,Fuel,,,,3,Standard,SAE J1939 SPN 2315
2316,Standard J1939 Parameter 2316,Emissions,,,,3,Standard,SAE J1939 SPN 2316
2317,Standard J1939 Parameter 2317,Engine,,,,3,Standard,SAE J1939 SPN 2317
2318,Standard J1939 Parameter 2318,Fuel,,,,3,Standard,SAE J1939 SPN 2318
2319,Standard J1939 Parameter 2319,Emissions,,,,3,Standard,SAE J1939 SPN 2319
2320,Standard J1939 Parameter 2320,Engine,,,,3,Standard,SAE J1939 SPN 2320
2321,Standard J1939 Parameter 2321,Fuel,,,,3,Standard,SAE J1939 SPN 2321
2322,Standard J1939 Parameter 2322,Emissions,,,,3,Standard,SAE J1939 SPN 2322
2323,Standard J1939 Parameter 2323,Engine,,,,3,Standard,SAE J1939 SPN 2323
2324,Standard J1939 Parameter 2324,Fuel,,,,3,Standard,SAE J1939 SPN 2324
2325,Standard J1939 Parameter 2325,Emissions,,,,3,Standard,SAE J1939 SPN 2325
2326,Standard J1939 Parameter 2326,Engine,,,,3,Standard,SAE J1939 SPN 2326
2327,Standard J1939 Parameter 2327,Fuel,,,,3,Standard,SAE J1939 SPN 2327
2328,Standard J1939 Parameter 2328,Emissions,,,,3,Standard,SAE J1939 SPN 2328
2329,Standard J1939 Parameter 2329,Engine,,,,3,Standard,SAE J1939 SPN 2329
2330,Standard J1939 Parameter 2330,Fuel,,,,3,Standard,SAE J1939 SPN 2330
2331,Standard J1939 Parameter 2331,Emissions,,,,3,Standard,SAE J1939 SPN 2331
2332,Standard J1939 Parameter 2332,Engine,,,,3,Standard,SAE J1939 SPN 2332
2333,Standard J1939 Parameter 2333,Fuel,,,,3,Standard,SAE J1939 SPN 2333
2334,Standard J1939 Parameter 2334,Emissions,,,,3,Standard,SAE J1939 SPN 2334
2335,Standard J1939 Parameter 2335,Engine,,,,3,Standard,SAE J1939 SPN 2335
2336,Standard J1939 Parameter 2336,Fuel,,,,3,Standard,SAE J1939 SPN 2336
2337,Standard J1939 Parameter 2337,Emissions,,,,3,Standard,SAE J1939 SPN 2337
2338,Standard J1939 Parameter 2338,Engine,,,,3,Standard,SAE J1939 SPN 2338
2339,Standard J1939 Parameter 2339,Fuel,,,,3,Standard,SAE J1939 SPN 2339
2340,Standard J1939 Parameter 2340,Emissions,,,,3,Standard,SAE J1939 SPN 2340
2341,Standard J1939 Parameter 2341,Engine,,,,3,Standard,SAE J1939 SPN 2341
2342,Standard J1939 Parameter 2342,Fuel,,,,3,Standard,SAE J1939 SPN 2342
2343,Standard J1939 Parameter 2343,Emissions,,,,3,Standard,SAE J1939 SPN 2343
2344,Standard J1939 Parameter 2344,Engine,,,,3,Standard,SAE J1939 SPN 2344
2345,Standard J1939 Parameter 2345,Fuel,,,,3,Standard,SAE J1939 SPN 2345
2346,Standard J1939 Parameter 2346,Emissions,,,,3,Standard,SAE J1939 SPN 2346
2347,Standard J1939 Parameter 2347,Engine,,,,3,Standard,SAE J1939 SPN 2347
2348,Standard J1939 Parameter 2348,Fuel,,,,3,Standard,SAE J1939 SPN 2348
2349,Standard J1939 Parameter 2349,Emissions,,,,3,Standard,SAE J1939 SPN 2349
2350,Standard J1939 Parameter 2350,Engine,,,,3,Standard,SAE J1939 SPN 2350
2351,Standard J1939 Parameter 2351,Fuel,,,,3,Standard,SAE J1939 SPN 2351
2352,Standard J1939 Parameter 2352,Emissions,,,,3,Standard,SAE J1939 SPN 2352
2353,Standard J1939 Parameter 2353,Engine,,,,3,Standard,SAE J1939 SPN 2353
2354,Standard J1939 Parameter 2354,Fuel,,,,3,Standard,SAE J1939 SPN 2354
2355,Standard J1939 Parameter 2355,Emissions,,,,3,Standard,SAE J1939 SPN 2355
2356,Standard J1939 Parameter 2356,Engine,,,,3,Standard,SAE J1939 SPN 2356
2357,Standard J1939 Parameter 2357,Fuel,,,,3,Standard,SAE J1939 SPN 2357
2358,Standard J1939 Parameter 2358,Emissions,,,,3,Standard,SAE J1939 SPN 2358
2359,Standard J1939 Parameter 2359,Engine,,,,3,Standard,SAE J1939 SPN 2359
2360,Standard J1939 Parameter 2360,Fuel,,,,3,Standard,SAE J1939 SPN 2360
2361,Standard J1939 Parameter 2361,Emissions,,,,3,Standard,SAE J1939 SPN 2361
2362,Standard J1939 Parameter 2362,Engine,,,,3,Standard,SAE J1939 SPN 2362
2363,Standard J1939 Parameter 2363,Fuel,,,,3,Standard,SAE J1939 SPN 2363
2364,Standard J1939 Parameter 2364,Emissions,,,,3,Standard,SAE J1939 SPN 2364
2365,Standard J1939 Parameter 2365,Engine,,,,3,Standard,SAE J1939 SPN 2365
2366,Standard J1939 Parameter 2366,Fuel,,,,3,Standard,SAE J1939 SPN 2366
2367,Standard J1939 Parameter 2367,Emissions,,,,3,Standard,SAE J1939 SPN 2367
2368,Standard J1939 Parameter 2368,Engine,,,,3,Standard,SAE J1939 SPN 2368
2369,Standard J1939 Parameter 2369,Fuel,,,,3,Standard,SAE J1939 SPN 2369
2370,Standard J1939 Parameter 2370,Emissions,,,,3,Standard,SAE J1939 SPN 2370
2371,Standard J1939 Parameter 2371,Engine,,,,3,Standard,SAE J1939 SPN 2371
2372,Standard J1939 Parameter 2372,Fuel,,,,3,Standard,SAE J1939 SPN 2372
2373,Standard J1939 Parameter 2373,Emissions,,,,3,Standard,SAE J1939 SPN 2373
2374,Standard J1939 Parameter 2374,Engine,,,,3,Standard,SAE J1939 SPN 2374
2375,Standard J1939 Parameter 2375,Fuel,,,,3,Standard,SAE J1939 SPN 2375
2376,Standard J1939 Parameter 2376,Emissions,,,,3,Standard,SAE J1939 SPN 2376
2377,Standard J1939 Parameter 2377,Engine,,,,3,Standard,SAE J1939 SPN 2377
2378,Standard J1939 Parameter 2378,Fuel,,,,3,Standard,SAE J1939 SPN 2378
2379,Standard J1939 Parameter 2379,Emissions,,,,3,Standard,SAE J1939 SPN 2379
2380,Standard J1939 Parameter 2380,Engine,,,,3,Standard,SAE J1939 SPN 2380
2381,Standard J1939 Parameter 2381,Fuel,,,,3,Standard,SAE J1939 SPN 2381
2382,Standard J1939 Parameter 2382,Emissions,,,,3,Standard,SAE J1939 SPN 2382
2383,Standard J1939 Parameter 2383,Engine,,,,3,Standard,SAE J1939 SPN 2383
2384,Standard J1939 Parameter 2384,Fuel,,,,3,Standard,SAE J1939 SPN 2384
2385,Standard J1939 Parameter 2385,Emissions,,,,3,Standard,SAE J1939 SPN 2385
2386,Standard J1939 Parameter 2386,Engine,,,,3,Standard,SAE J1939 SPN 2386
2387,Standard J1939 Parameter 2387,Fuel,,,,3,Standard,SAE J1939 SPN 2387
2388,Standard J1939 Parameter 2388,Emissions,,,,3,Standard,SAE J1939 SPN 2388
2389,Standard J1939 Parameter 2389,Engine,,,,3,Standard,SAE J1939 SPN 2389
2390,Standard J1939 Parameter 2390,Fuel,,,,3,Standard,SAE J1939 SPN 2390
2391,Standard J1939 Parameter 2391,Emissions,,,,3,Standard,SAE J1939 SPN 2391
2392,Standard J1939 Parameter 2392,Engine,,,,3,Standard,SAE J1939 SPN 2392
2393,Standard J1939 Parameter 2393,Fuel,,,,3,Standard,SAE J1939 SPN 2393
2394,Standard J1939 Parameter 2394,Emissions,,,,3,Standard,SAE J1939 SPN 2394
2395,Standard J1939 Parameter 2395,Engine,,,,3,Standard,SAE J1939 SPN 2395
2396,Standard J1939 Parameter 2396,Fuel,,,,3,Standard,SAE J1939 SPN 2396
2397,Standard J1939 Parameter 2397,Emissions,,,,3,Standard,SAE J1939 SPN 2397
2398,Standard J1939 Parameter 2398,Engine,,,,3,Standard,SAE J1939 SPN 2398
2399,Standard J1939 Parameter 2399,Fuel,,,,3,Standard,SAE J1939 SPN 2399
2400,Standard J1939 Parameter 2400,Emissions,,,,3,Standard,SAE J1939 SPN 2400
2401,Standard J1939 Parameter 2401,Engine,,,,3,Standard,SAE J1939 SPN 2401
2402,Standard J1939 Parameter 2402,Fuel,,,,3,Standard,SAE J1939 SPN 2402
2403,Standard J1939 Parameter 2403,Emissions,,,,3,Standard,SAE J1939 SPN 2403
2404,Standard J1939 Parameter 2404,Engine,,,,3,Standard,SAE J1939 SPN 2404
2405,Standard J1939 Parameter 2405,Fuel,,,,3,Standard,SAE J1939 SPN 2405
2406,Standard J1939 Parameter 2406,Emissions,,,,3,Standard,SAE J1939 SPN 2406
2407,Standard J1939 Parameter 2407,Engine,,,,3,Standard,SAE J1939 SPN 2407
2408,Standard J1939 Parameter 2408,Fuel,,,,3,Standard,SAE J1939 SPN 2408
2409,Standard J1939 Parameter 2409,Emissions,,,,3,Standard,SAE J1939 SPN 2409
2410,Standard J1939 Parameter 2410,Engine,,,,3,Standard,SAE J1939 SPN 2410
2411,Standard J1939 Parameter 2411,Fuel,,,,3,Standard,SAE J1939 SPN 2411
2412,Standard J1939 Parameter 2412,Emissions,,,,3,Standard,SAE J1939 SPN 2412
2413,Standard J1939 Parameter 2413,Engine,,,,3,Standard,SAE J1939 SPN 2413
2414,Standard J1939 Parameter 2414,Fuel,,,,3,Standard,SAE J1939 SPN 2414
2415,Standard J1939 Parameter 2415,Emissions,,,,3,Standard,SAE J1939 SPN 2415
2416,Standard J1939 Parameter 2416,Engine,,,,3,Standard,SAE J1939 SPN 2416
2417,Standard J1939 Parameter 2417,Fuel,,,,3,Standard,SAE J1939 SPN 2417
2418,Standard J1939 Parameter 2418,Emissions,,,,3,Standard,SAE J1939 SPN 2418
2419,Standard J1939 Parameter 2419,Engine,,,,3,Standard,SAE J1939 SPN 2419
2420,Standard J1939 Parameter 2420,Fuel,,,,3,Standard,SAE J1939 SPN 2420
2421,Standard J1939 Parameter 2421,Emissions,,,,3,Standard,SAE J1939 SPN 2421
2422,Standard J1939 Parameter 2422,Engine,,,,3,Standard,SAE J1939 SPN 2422
2423,Standard J1939 Parameter 2423,Fuel,,,,3,Standard,SAE J1939 SPN 2423
2424,Standard J1939 Parameter 2424,Emissions,,,,3,Standard,SAE J1939 SPN 2424
2425,Standard J1939 Parameter 2425,Engine,,,,3,Standard,SAE J1939 SPN 2425
2426,Standard J1939 Parameter 2426,Fuel,,,,3,Standard,SAE J1939 SPN 2426
2427,Standard J1939 Parameter 2427,Emissions,,,,3,Standard,SAE J1939 SPN 2427
2428,Standard J1939 Parameter 2428,Engine,,,,3,Standard,SAE J1939 SPN 2428
2429,Standard J1939 Parameter 2429,Fuel,,,,3,Standard,SAE J1939 SPN 2429
2430,Standard J1939 Parameter 2430,Emissions,,,,3,Standard,SAE J1939 SPN 2430
2431,Standard J1939 Parameter 2431,Engine,,,,3,Standard,SAE J1939 SPN 2431
2432,Standard J1939 Parameter 2432,Fuel,,,,3,Standard,SAE J1939 SPN 2432
2433,Standard J1939 Parameter 2433,Emissions,,,,3,Standard,SAE J1939 SPN 2433
2434,Standard J1939 Parameter 2434,Engine,,,,3,Standard,SAE J1939 SPN 2434
2435,Standard J1939 Parameter 2435,Fuel,,,,3,Standard,SAE J1939 SPN 2435
2436,Standard J1939 Parameter 2436,Emissions,,,,3,Standard,SAE J1939 SPN 2436
2437,Standard J1939 Parameter 2437,Engine,,,,3,Standard,SAE J1939 SPN 2437
2438,Standard J1939 Parameter 2438,Fuel,,,,3,Standard,SAE J1939 SPN 2438
2439,Standard J1939 Parameter 2439,Emissions,,,,3,Standard,SAE J1939 SPN 2439
2440,Standard J1939 Parameter 2440,Engine,,,,3,Standard,SAE J1939 SPN 2440
2441,Standard J1939 Parameter 2441,Fuel,,,,3,Standard,SAE J1939 SPN 2441
2442,Standard J1939 Parameter 2442,Emissions,,,,3,Standard,SAE J1939 SPN 2442
2443,Standard J1939 Parameter 2443,Engine,,,,3,Standard,SAE J1939 SPN 2443
2444,Standard J1939 Parameter 2444,Fuel,,,,3,Standard,SAE J1939 SPN 2444
2445,Standard J1939 Parameter 2445,Emissions,,,,3,Standard,SAE J1939 SPN 2445
2446,Standard J1939 Parameter 2446,Engine,,,,3,Standard,SAE J1939 SPN 2446
2447,Standard J1939 Parameter 2447,Fuel,,,,3,Standard,SAE J1939 SPN 2447
2448,Standard J1939 Parameter 2448,Emissions,,,,3,Standard,SAE J1939 SPN 2448
2449,Standard J1939 Parameter 2449,Engine,,,,3,Standard,SAE J1939 SPN 2449
2450,Standard J1939 Parameter 2450,Fuel,,,,3,Standard,SAE J1939 SPN 2450
2451,Standard J1939 Parameter 2451,Emissions,,,,3,Standard,SAE J1939 SPN 2451
2452,Standard J1939 Parameter 2452,Engine,,,,3,Standard,SAE J1939 SPN 2452
2453,Standard J1939 Parameter 2453,Fuel,,,,3,Standard,SAE J1939 SPN 2453
2454,Standard J1939 Parameter 2454,Emissions,,,,3,Standard,SAE J1939 SPN 2454
2455,Standard J1939 Parameter 2455,Engine,,,,3,Standard,SAE J1939 SPN 2455
2456,Standard J1939 Parameter 2456,Fuel,,,,3,Standard,SAE J1939 SPN 2456
2457,Standard J1939 Parameter 2457,Emissions,,,,3,Standard,SAE J1939 SPN 2457
2458,Standard J1939 Parameter 2458,Engine,,,,3,Standard,SAE J1939 SPN 2458
2459,Standard J1939 Parameter 2459,Fuel,,,,3,Standard,SAE J1939 SPN 2459
2460,Standard J1939 Parameter 2460,Emissions,,,,3,Standard,SAE J1939 SPN 2460
2461,Standard J1939 Parameter 2461,Engine,,,,3,Standard,SAE J1939 SPN 2461
2462,Standard J1939 Parameter 2462,Fuel,,,,3,Standard,SAE J1939 SPN 2462
2463,Standard J1939 Parameter 2463,Emissions,,,,3,Standard,SAE J1939 SPN 2463
2464,Standard J1939 Parameter 2464,Engine,,,,3,Standard,SAE J1939 SPN 2464
2465,Standard J1939 Parameter 2465,Fuel,,,,3,Standard,SAE J1939 SPN 2465
2466,Standard J1939 Parameter 2466,Emissions,,,,3,Standard,SAE J1939 SPN 2466
2467,Standard J1939 Parameter 2467,Engine,,,,3,Standard,SAE J1939 SPN 2467
2468,Standard J1939 Parameter 2468,Fuel,,,,3,Standard,SAE J1939 SPN 2468
2469,Standard J1939 Parameter 2469,Emissions,,,,3,Standard,SAE J1939 SPN 2469
2470,Standard J1939 Parameter 2470,Engine,,,,3,Standard,SAE J1939 SPN 2470
2471,Standard J1939 Parameter 2471,Fuel,,,,3,Standard,SAE J1939 SPN 2471
2472,Standard J1939 Parameter 2472,Emissions,,,,3,Standard,SAE J1939 SPN 2472
2473,Standard J1939 Parameter 2473,Engine,,,,3,Standard,SAE J1939 SPN 2473
2474,Standard J1939 Parameter 2474,Fuel,,,,3,Standard,SAE J1939 SPN 2474
2475,Standard J1939 Parameter 2475,Emissions,,,,3,Standard,SAE J1939 SPN 2475
2476,Standard J1939 Parameter 2476,Engine,,,,3,Standard,SAE J1939 SPN 2476
2477,Standard J1939 Parameter 2477,Fuel,,,,3,Standard,SAE J1939 SPN 2477
2478,Standard J1939 Parameter 2478,Emissions,,,,3,Standard,SAE J1939 SPN 2478
2479,Standard J1939 Parameter 2479,Engine,,,,3,Standard,SAE J1939 SPN 2479
2480,Standard J1939 Parameter 2480,Fuel,,,,3,Standard,SAE J1939 SPN 2480
2481,Standard J1939 Parameter 2481,Emissions,,,,3,Standard,SAE J1939 SPN 2481
2482,Standard J1939 Parameter 2482,Engine,,,,3,Standard,SAE J1939 SPN 2482
2483,Standard J1939 Parameter 2483,Fuel,,,,3,Standard,SAE J1939 SPN 2483
2484,Standard J1939 Parameter 2484,Emissions,,,,3,Standard,SAE J1939 SPN 2484
2485,Standard J1939 Parameter 2485,Engine,,,,3,Standard,SAE J1939 SPN 2485
2486,Standard J1939 Parameter 2486,Fuel,,,,3,Standard,SAE J1939 SPN 2486
2487,Standard J1939 Parameter 2487,Emissions,,,,3,Standard,SAE J1939 SPN 2487
2488,Standard J1939 Parameter 2488,Engine,,,,3,Standard,SAE J1939 SPN 2488
2489,Standard J1939 Parameter 2489,Fuel,,,,3,Standard,SAE J1939 SPN 2489
2490,Standard J1939 Parameter 2490,Emissions,,,,3,Standard,SAE J1939 SPN 2490
2491,Standard J1939 Parameter 2491,Engine,,,,3,Standard,SAE J1939 SPN 2491
2492,Standard J1939 Parameter 2492,Fuel,,,,3,Standard,SAE J1939 SPN 2492
2493,Standard J1939 Parameter 2493,Emissions,,,,3,Standard,SAE J1939 SPN 2493
2494,Standard J1939 Parameter 2494,Engine,,,,3,Standard,SAE J1939 SPN 2494
2495,Standard J1939 Parameter 2495,Fuel,,,,3,Standard,SAE J1939 SPN 2495
2496,Standard J1939 Parameter 2496,Emissions,,,,3,Standard,SAE J1939 SPN 2496
2497,Standard J1939 Parameter 2497,Engine,,,,3,Standard,SAE J1939 SPN 2497
2498,Standard J1939 Parameter 2498,Fuel,,,,3,Standard,SAE J1939 SPN 2498
2499,Standard J1939 Parameter 2499,Emissions,,,,3,Standard,SAE J1939 SPN 2499
2500,Standard J1939 Parameter 2500,Engine,,,,3,Standard,SAE J1939 SPN 2500
2501,Standard J1939 Parameter 2501,Fuel,,,,3,Standard,SAE J1939 SPN 2501
2502,Standard J1939 Parameter 2502,Emissions,,,,3,Standard,SAE J1939 SPN 2502
2503,Standard J1939 Parameter 2503,Engine,,,,3,Standard,SAE J1939 SPN 2503
2504,Standard J1939 Parameter 2504,Fuel,,,,3,Standard,SAE J1939 SPN 2504
2505,Standard J1939 Parameter 2505,Emissions,,,,3,Standard,SAE J1939 SPN 2505
2506,Standard J1939 Parameter 2506,Engine,,,,3,Standard,SAE J1939 SPN 2506
2507,Standard J1939 Parameter 2507,Fuel,,,,3,Standard,SAE J1939 SPN 2507
2508,Standard J1939 Parameter 2508,Emissions,,,,3,Standard,SAE J1939 SPN 2508
2509,Standard J1939 Parameter 2509,Engine,,,,3,Standard,SAE J1939 SPN 2509
2510,Standard J1939 Parameter 2510,Fuel,,,,3,Standard,SAE J1939 SPN 2510
2511,Standard J1939 Parameter 2511,Emissions,,,,3,Standard,SAE J1939 SPN 2511
2512,Standard J1939 Parameter 2512,Engine,,,,3,Standard,SAE J1939 SPN 2512
2513,Standard J1939 Parameter 2513,Fuel,,,,3,Standard,SAE J1939 SPN 2513
2514,Standard J1939 Parameter 2514,Emissions,,,,3,Standard,SAE J1939 SPN 2514
2515,Standard J1939 Parameter 2515,Engine,,,,3,Standard,SAE J1939 SPN 2515
2516,Standard J1939 Parameter 2516,Fuel,,,,3,Standard,SAE J1939 SPN 2516
2517,Standard J1939 Parameter 2517,Emissions,,,,3,Standard,SAE J1939 SPN 2517
2518,Standard J1939 Parameter 2518,Engine,,,,3,Standard,SAE J1939 SPN 2518
2519,Standard J1939 Parameter 2519,Fuel,,,,3,Standard,SAE J1939 SPN 2519
2520,Standard J1939 Parameter 2520,Emissions,,,,3,Standard,SAE J1939 SPN 2520
2521,Standard J1939 Parameter 2521,Engine,,,,3,Standard,SAE J1939 SPN 2521
2522,Standard J1939 Parameter 2522,Fuel,,,,3,Standard,SAE J1939 SPN 2522
2523,Standard J1939 Parameter 2523,Emissions,,,,3,Standard,SAE J1939 SPN 2523
2524,Standard J1939 Parameter 2524,Engine,,,,3,Standard,SAE J1939 SPN 2524
2525,Standard J1939 Parameter 2525,Fuel,,,,3,Standard,SAE J1939 SPN 2525
2526,Standard J1939 Parameter 2526,Emissions,,,,3,Standard,SAE J1939 SPN 2526
2527,Standard J1939 Parameter 2527,Engine,,,,3,Standard,SAE J1939 SPN 2527
2528,Standard J1939 Parameter 2528,Fuel,,,,3,Standard,SAE J1939 SPN 2528
2529,Standard J1939 Parameter 2529,Emissions,,,,3,Standard,SAE J1939 SPN 2529
2530,Standard J1939 Parameter 2530,Engine,,,,3,Standard,SAE J1939 SPN 2530
2531,Standard J1939 Parameter 2531,Fuel,,,,3,Standard,SAE J1939 SPN 2531
2532,Standard J1939 Parameter 2532,Emissions,,,,3,Standard,SAE J1939 SPN 2532
2533,Standard J1939 Parameter 2533,Engine,,,,3,Standard,SAE J1939 SPN 2533
2534,Standard J1939 Parameter 2534,Fuel,,,,3,Standard,SAE J1939 SPN 2534
2535,Standard J1939 Parameter 2535,Emissions,,,,3,Standard,SAE J1939 SPN 2535
2536,Standard J1939 Parameter 2536,Engine,,,,3,Standard,SAE J1939 SPN 2536
2537,Standard J1939 Parameter 2537,Fuel,,,,3,Standard,SAE J1939 SPN 2537
2538,Standard J1939 Parameter 2538,Emissions,,,,3,Standard,SAE J1939 SPN 2538
2539,Standard J1939 Parameter 2539,Engine,,,,3,Standard,SAE J1939 SPN 2539
2540,Standard J1939 Parameter 2540,Fuel,,,,3,Standard,SAE J1939 SPN 2540
2541,Standard J1939 Parameter 2541,Emissions,,,,3,Standard,SAE J1939 SPN 2541
2542,Standard J1939 Parameter 2542,Engine,,,,3,Standard,SAE J1939 SPN 2542
2543,Standard J1939 Parameter 2543,Fuel,,,,3,Standard,SAE J1939 SPN 2543
2544,Standard J1939 Parameter 2544,Emissions,,,,3,Standard,SAE J1939 SPN 2544
2545,Standard J1939 Parameter 2545,Engine,,,,3,Standard,SAE J1939 SPN 2545
2546,Standard J1939 Parameter 2546,Fuel,,,,3,Standard,SAE J1939 SPN 2546
2547,Standard J1939 Parameter 2547,Emissions,,,,3,Standard,SAE J1939 SPN 2547
2548,Standard J1939 Parameter 2548,Engine,,,,3,Standard,SAE J1939 SPN 2548
2549,Standard J1939 Parameter 2549,Fuel,,,,3,Standard,SAE J1939 SPN 2549
2550,Standard J1939 Parameter 2550,Emissions,,,,3,Standard,SAE J1939 SPN 2550
2551,Standard J1939 Parameter 2551,Engine,,,,3,Standard,SAE J1939 SPN 2551
2552,Standard J1939 Parameter 2552,Fuel,,,,3,Standard,SAE J1939 SPN 2552
2553,Standard J1939 Parameter 2553,Emissions,,,,3,Standard,SAE J1939 SPN 2553
2554,Standard J1939 Parameter 2554,Engine,,,,3,Standard,SAE J1939 SPN 2554
2555,Standard J1939 Parameter 2555,Fuel,,,,3,Standard,SAE J1939 SPN 2555
2556,Standard J1939 Parameter 2556,Emissions,,,,3,Standard,SAE J1939 SPN 2556
2557,Standard J1939 Parameter 2557,Engine,,,,3,Standard,SAE J1939 SPN 2557
2558,Standard J1939 Parameter 2558,Fuel,,,,3,Standard,SAE J1939 SPN 2558
2559,Standard J1939 Parameter 2559,Emissions,,,,3,Standard,SAE J1939 SPN 2559
2560,Standard J1939 Parameter 2560,Engine,,,,3,Standard,SAE J1939 SPN 2560
2561,Standard J1939 Parameter 2561,Fuel,,,,3,Standard,SAE J1939 SPN 2561
2562,Standard J1939 Parameter 2562,Emissions,,,,3,Standard,SAE J1939 SPN 2562
2563,Standard J1939 Parameter 2563,Engine,,,,3,Standard,SAE J1939 SPN 2563
2564,Standard J1939 Parameter 2564,Fuel,,,,3,Standard,SAE J1939 SPN 2564
2565,Standard J1939 Parameter 2565,Emissions,,,,3,Standard,SAE J1939 SPN 2565
2566,Standard J1939 Parameter 2566,Engine,,,,3,Standard,SAE J1939 SPN 2566
2567,Standard J1939 Parameter 2567,Fuel,,,,3,Standard,SAE J1939 SPN 2567
2568,Standard J1939 Parameter 2568,Emissions,,,,3,Standard,SAE J1939 SPN 2568
2569,Standard J1939 Parameter 2569,Engine,,,,3,Standard,SAE J1939 SPN 2569
2570,Standard J1939 Parameter 2570,Fuel,,,,3,Standard,SAE J1939 SPN 2570
2571,Standard J1939 Parameter 2571,Emissions,,,,3,Standard,SAE J1939 SPN 2571
2572,Standard J1939 Parameter 2572,Engine,,,,3,Standard,SAE J1939 SPN 2572
2573,Standard J1939 Parameter 2573,Fuel,,,,3,Standard,SAE J1939 SPN 2573
2574,Standard J1939 Parameter 2574,Emissions,,,,3,Standard,SAE J1939 SPN 2574
2575,Standard J1939 Parameter 2575,Engine,,,,3,Standard,SAE J1939 SPN 2575
2576,Standard J1939 Parameter 2576,Fuel,,,,3,Standard,SAE J1939 SPN 2576
2577,Standard J1939 Parameter 2577,Emissions,,,,3,Standard,SAE J1939 SPN 2577
2578,Standard J1939 Parameter 2578,Engine,,,,3,Standard,SAE J1939 SPN 2578
2579,Standard J1939 Parameter 2579,Fuel,,,,3,Standard,SAE J1939 SPN 2579
2580,Standard J1939 Parameter 2580,Emissions,,,,3,Standard,SAE J1939 SPN 2580
2581,Standard J1939 Parameter 2581,Engine,,,,3,Standard,SAE J1939 SPN 2581
2582,Standard J1939 Parameter 2582,Fuel,,,,3,Standard,SAE J1939 SPN 2582
2583,Standard J1939 Parameter 2583,Emissions,,,,3,Standard,SAE J1939 SPN 2583
2584,Standard J1939 Parameter 2584,Engine,,,,3,Standard,SAE J1939 SPN 2584
